Industry,Work Type,Switch Time,Measure
Houses of Worship,County,2018,7528
Houses of Worship,County,2017,4293
Houses of Worship,County,2016,2242
Houses of Worship,County,2015,110
Houses of Worship,State,2023,26650
Houses of Worship,State,2022,5530
Houses of Worship,State,2020,5000
Houses of Worship,State,2019,1625
Houses of Worship,State,2018,2418
Houses of Worship,State,2016,990
Houses of Worship,State,2015,1010
Houses of Worship,Federal,2023,1000
Houses of Worship,Federal,2022,750
Houses of Worship,Federal,2020,6120
Houses of Worship,Federal,2019,158440
Houses of Worship,Federal,2018,350
Houses of Worship,Federal,2017,1100
Houses of Worship,Federal,2016,395
Other Religious Buildings,Private,2024,8488
Other Religious Buildings,Private,2023,32268
Other Religious Buildings,Private,2022,48754
Other Religious Buildings,Private,2021,61434
Other Religious Buildings,Private,2020,63989
Other Religious Buildings,Private,2019,37437
Other Religious Buildings,Private,2018,25564
Other Religious Buildings,Private,2017,61273
Other Religious Buildings,Private,2016,89404
Other Religious Buildings,Private,2015,29550
Other Religious Buildings,County,2024,2233
Other Religious Buildings,County,2023,10794
Other Religious Buildings,County,2022,18209
Other Religious Buildings,County,2021,11381
Other Religious Buildings,County,2020,19489
Other Religious Buildings,County,2019,12653
Other Religious Buildings,County,2018,15808
Other Religious Buildings,County,2017,10264
Other Religious Buildings,County,2016,7390
Other Religious Buildings,County,2015,15422
Other Religious Buildings,State,2024,1075
Other Religious Buildings,State,2023,47900
Other Religious Buildings,State,2022,6282
Other Religious Buildings,State,2021,3667
Other Religious Buildings,State,2020,6493
Other Religious Buildings,State,2019,4203
Other Religious Buildings,State,2018,2641
Other Religious Buildings,State,2017,11186
Other Religious Buildings,State,2016,23852
Other Religious Buildings,State,2015,18175
Other Religious Buildings,Federal,2024,16923
Other Religious Buildings,Federal,2023,33235
Other Religious Buildings,Federal,2022,40616
Other Religious Buildings,Federal,2021,59179
Other Religious Buildings,Federal,2020,36913
Other Religious Buildings,Federal,2019,88352
Other Religious Buildings,Federal,2018,44444
Other Religious Buildings,Federal,2017,23531
Other Religious Buildings,Federal,2016,34341
Other Religious Buildings,Federal,2015,37855
"Amusement, Social and Recreational Bldgs",Private,2024,3059420
"Amusement, Social and Recreational Bldgs",Private,2023,11233004
"Amusement, Social and Recreational Bldgs",Private,2022,10709565
"Amusement, Social and Recreational Bldgs",Private,2021,8658713
"Amusement, Social and Recreational Bldgs",Private,2020,4508408
"Amusement, Social and Recreational Bldgs",Private,2019,10772477
"Amusement, Social and Recreational Bldgs",Private,2018,11566443
"Amusement, Social and Recreational Bldgs",Private,2017,11558595
"Amusement, Social and Recreational Bldgs",Private,2016,12753118
"Amusement, Social and Recreational Bldgs",Private,2015,7518529
"Amusement, Social and Recreational Bldgs",County,2024,2276792
"Amusement, Social and Recreational Bldgs",County,2023,9350437
"Amusement, Social and Recreational Bldgs",County,2022,6925094
"Amusement, Social and Recreational Bldgs",County,2021,5662266
"Amusement, Social and Recreational Bldgs",County,2020,5299739
"Amusement, Social and Recreational Bldgs",County,2019,5903837
"Amusement, Social and Recreational Bldgs",County,2018,6237862
"Amusement, Social and Recreational Bldgs",County,2017,3658336
"Amusement, Social and Recreational Bldgs",County,2016,3832952
"Amusement, Social and Recreational Bldgs",County,2015,5112043
"Amusement, Social and Recreational Bldgs",State,2024,689275
"Amusement, Social and Recreational Bldgs",State,2023,1755281
"Amusement, Social and Recreational Bldgs",State,2022,1609454
"Amusement, Social and Recreational Bldgs",State,2021,1733588
"Amusement, Social and Recreational Bldgs",State,2020,1689477
"Amusement, Social and Recreational Bldgs",State,2019,1970366
"Amusement, Social and Recreational Bldgs",State,2018,2298782
"Amusement, Social and Recreational Bldgs",State,2017,2793607
"Amusement, Social and Recreational Bldgs",State,2016,1896718
"Amusement, Social and Recreational Bldgs",State,2015,1268729
"Amusement, Social and Recreational Bldgs",Federal,2024,31806
"Amusement, Social and Recreational Bldgs",Federal,2023,458946
"Amusement, Social and Recreational Bldgs",Federal,2022,286488
"Amusement, Social and Recreational Bldgs",Federal,2021,510920
"Amusement, Social and Recreational Bldgs",Federal,2020,162473
"Amusement, Social and Recreational Bldgs",Federal,2019,102201
"Amusement, Social and Recreational Bldgs",Federal,2018,456272
"Amusement, Social and Recreational Bldgs",Federal,2017,114300
"Amusement, Social and Recreational Bldgs",Federal,2016,77345
"Amusement, Social and Recreational Bldgs",Federal,2015,296880
Miscellaneous Nonresidential Buildings,Private,2024,3155210
Miscellaneous Nonresidential Buildings,Private,2023,6253235
Miscellaneous Nonresidential Buildings,Private,2022,14453608
Miscellaneous Nonresidential Buildings,Private,2021,3343055
Miscellaneous Nonresidential Buildings,Private,2020,1934026
Miscellaneous Nonresidential Buildings,Private,2019,2047738
Miscellaneous Nonresidential Buildings,Private,2018,2758048
Miscellaneous Nonresidential Buildings,Private,2017,8913266
Miscellaneous Nonresidential Buildings,Private,2016,1673560
